name,ingredients,duration,difficulty,img_url,ingredients_processed,removed_stopwords,cleaned_ingredients
15 Minute Healthy Dark Chocolate Truffles,"['dried dates, pitted', 'cups sliced or slivered almonds', 'cup pecans', 'cup plus  tablespoons cocoa powder', 'teaspoon vanilla extract', 'tablespoon agave nectar (or honey)', 'teaspoon sea salt', 'cup hot water', 'Optional: coconut flakes, sprinkles, cocoa powder, or crushed nuts for coating the truffles']",45,Moderate,https://spoonacular.com/recipeImages/631841-556x370.jpg,"['dried dates pitted', 'cups sliced or slivered almonds', 'cup pecans', 'cup plus  tablespoons cocoa powder', 'teaspoon vanilla extract', 'tablespoon agave nectar (or honey)', 'teaspoon sea salt', 'cup hot water', 'optional: coconut flakes sprinkles cocoa powder or crushed nuts for coating the truffles']",[],"['honey', 'salt']"
17 Bean White Chicken Chili,"['pound Assorted Dry Beans, Cooked According to Package Directions', 'cups Chicken Broth', 'Chicken Breasts', 'tablespoons Cornstarch', 'tablespoons Cold Water', 'cup Corn', 'Bell Pepper, Chopped', 'Large Onion, Chopped', 'cloves Garlic, Minced', 'can Diced Green Chiles', 'Tomato, Chopped', 'Lime, Squeezed', 'tablespoon Cumin', 'tablespoon Chili Powder', 'teaspoon Oregano', 'teaspoon Crushed Red Pepper', 'teaspoon Pepper', 'Small Bunch Cilantro, Chopped', 'Salt to Taste', 'teaspoon Corriander']",45,Hard,https://spoonacular.com/recipeImages/631843-556x370.jpg,"['pound assorted dry beans cooked according to package directions', 'cups chicken broth', 'chicken breasts', 'tablespoons cornstarch', 'tablespoons cold water', 'cup corn', 'bell pepper chopped', 'large onion chopped', 'cloves garlic minced', 'can diced green chiles', 'tomato chopped', 'lime squeezed', 'tablespoon cumin', 'tablespoon chili powder', 'teaspoon oregano', 'teaspoon crushed red pepper', 'teaspoon pepper', 'small bunch cilantro chopped', 'salt to taste', 'teaspoon corriander']",[],"['chicken', 'chicken', 'pepper', 'onion', 'garlic', 'tomato', 'lime', 'cumin', 'oregano', 'pepper', 'pepper', 'salt']"
2 Minute Chocolate Yum,"['tablespoons Cocoa Powder', 'Egg, slightly beaten', 'cup Flour', 'ml milk', 'tablespoons Oil', 'Dash of Salt', 'tablespoons Sugar', 'teaspoon vanilla']",45,Very hard,https://spoonacular.com/recipeImages/631849-556x370.jpg,"['tablespoons cocoa powder', 'egg slightly beaten', 'cup flour', 'ml milk', 'tablespoons oil', 'dash of salt', 'tablespoons sugar', 'teaspoon vanilla']",[],"['egg', 'flour', 'salt', 'sugar']"
3 Steps for the Best Sheet Pan Chicken and Veggies,"['fresh and dried herbs', '- pieces asparagus', 'baby zucchini', 'chicken breasts', 'tablespoon olive oil', 'cup parmesan cheese', 'salt and pepper', 'baby summer squash']",35,Hard,https://spoonacular.com/recipeImages/1045246-556x370.jpg,"['fresh and dried herbs', '- pieces asparagus', 'baby zucchini', 'chicken breasts', 'tablespoon olive oil', 'cup parmesan cheese', 'salt and pepper', 'baby summer squash']",[],"['asparagus', 'zucchini', 'chicken', 'cheese', 'salt, pepper']"
4 Ingredient Raw Peanut Butter Chocolate Cups,"['to  tablespoons coconut flour, as needed', 'oz ( g) dark chocolate (I used % dark), broken into pieces', 'tablespoons maple syrup', 'cups natural crunchy or smooth peanut butter', 'dash of vanilla']",45,Very hard,https://spoonacular.com/recipeImages/792705-556x370.jpg,"['to  tablespoons coconut flour as needed', 'oz ( g) dark chocolate (i used % dark) broken into pieces', 'tablespoons maple syrup', 'cups natural crunchy or smooth peanut butter', 'dash of vanilla']",[],"['flour', 'syrup', 'butter']"
5-Minute Blueberry Chia Jam,"['cups blueberries (fresh or thawed) (about  g)', 'tbsp chia seeds', 'tbsp honeymaple syrup', 'Water, just enough to be able to blend (I used about ¼ cup ml)']",45,Hard,https://spoonacular.com/recipeImages/631880-556x370.jpg,"['cups blueberries (fresh or thawed) (about  g)', 'tbsp chia seeds', 'tbsp honeymaple syrup', 'water just enough to be able to blend (i used about ¼ cup ml)']",[],"['honeymaple, syrup']"
5 Minute Gluten Free Wonder Buns,"['tablespoon almond meal', 'teaspoon baking powder', 'teaspoon cocoa powder', 'large egg', 'tablespoon ground flax seed', 'teaspoon molasses', 'a pinch of salt, optional', 'Sesame seeds', 'tablespoons sorghum flour']",45,Very hard,https://spoonacular.com/recipeImages/631874-556x370.jpg,"['tablespoon almond meal', 'teaspoon baking powder', 'teaspoon cocoa powder', 'large egg', 'tablespoon ground flax seed', 'teaspoon molasses', 'a pinch of salt optional', 'sesame seeds', 'tablespoons sorghum flour']",[],"['egg', 'salt', 'flour']"
5-Minute Rocky Road Fudge,"['c. ( oz. pkg.) semi-sweet chocolate chips', 'oz. can sweetened condensed milk', 't. vanilla extract', 't. salt', 'c. mini-marshmallows', 'c. toasted, chopped walnuts']",45,Very easy,https://spoonacular.com/recipeImages/631882-556x370.jpg,"['c ( oz pkg) semi-sweet chocolate chips', 'oz can sweetened condensed milk', 't vanilla extract', 't salt', 'c mini-marshmallows', 'c toasted chopped walnuts']",[],"['salt', 'walnuts']"
5 Minute Xocai Chocolate Mug Cake,"['tbsps dark chocolate (Xocai Sipping Xocolate (optional))', ""eggs, we like Eggland's Best eggs"", 'tbsps flour', 'tbsps honey', 'tbsps milk', 'tsp vanilla']",45,Moderate,https://spoonacular.com/recipeImages/631879-556x370.jpg,"['tbsps dark chocolate (xocai sipping xocolate (optional))', ""eggs we like eggland's best eggs"", 'tbsps flour', 'tbsps honey', 'tbsps milk', 'tsp vanilla']",[],"['eggs, egglands, eggs', 'flour', 'honey']"
90 Second Cookie in a Bowl,"['Tablespoon of melted butter', 'tablespoon of chocolate chips (Also feel free to regulate)', 'tablespoon of shredded coconut', 'egg yolk', 'cup of flour', 'A pinch of salt', 'tablespoons of sugar (feel free to regulate this)', 'teaspoon of vanilla']",45,Easy,https://spoonacular.com/recipeImages/716347-556x370.jpg,"['tablespoon of melted butter', 'tablespoon of chocolate chips (also feel free to regulate)', 'tablespoon of shredded coconut', 'egg yolk', 'cup of flour', 'a pinch of salt', 'tablespoons of sugar (feel free to regulate this)', 'teaspoon of vanilla']",[],"['butter', 'egg', 'flour', 'salt', 'sugar']"
